date,bitstamp,cex_io,coinbase,exmo,kraken,paymium,btc_volume_total
2025-06-01,3682.14789981,0.00047,5633.6015355,302.93954168,4163.23194011,31.205254150000002,13813.126641249999
2025-07-01,4452.4451287,8.94267857,6959.69427492,296.7819504100001,4891.10954008,55.32840375,16664.30197643
2025-08-01,4175.10218463,12.63644176,4167.1679097900005,256.1745211,4446.94274964,51.31780185,13109.34160877
2025-09-01,6270.266162310001,4.9283065200000005,,368.9648967999999,5363.18857535,65.1896228,12072.537563780003
2025-10-01,5608.449469030001,0.0021,,546.97987977,6446.15532265,53.138094360000004,12654.72486581
2025-11-01,6287.10535363,0.00445,,710.99572545,9523.083725870001,44.14555181,16565.33480676
2025-12-01,1306.97736277,,,166.20386039,1747.43378217001,15.04910261,3235.6641079400097
